"externalid","limitname","max_value","remaining_value","eventdate"
a6ecd2e1-575e-4504-8c8a-273c700ece82,"DailyBulkApiBatches",15000,6690,2021-06-19 02:14:12
"32bf1e9b-03bd-44a5-a082-f77ff397f5a7","DailyBulkApiBatches",15000,6663,2021-06-19 03:14:13
"6b9c29cd-fbbe-41c1-8d8a-ab1464523600","DailyBulkApiBatches",15000,6690,2021-06-19 04:13:49
"6111ace4-3392-43cc-8494-2433cb1c5ce0","DailyBulkApiBatches",15000,6691,2021-06-19 05:14:11
ec8e7dbb-4cdf-4fbe-8439-77ed040fce7f,"DailyBulkApiBatches",15000,6691,2021-06-19 06:13:53
f85fb7b6-25ba-46eb-8d42-05dbed5f9d6f,"DailyBulkApiBatches",15000,6690,2021-06-19 07:13:41
"5248e59c-2f9a-4872-a152-16e684e8c692","DailyBulkApiBatches",15000,6696,2021-06-19 08:14:30
"94624704-b528-4d7e-bdb7-6d2088813c1a","DailyBulkApiBatches",15000,6694,2021-06-19 09:14:04
bad0291a-a595-4ead-975e-b81891c5ec89,"DailyBulkApiBatches",15000,6683,2021-06-19 10:11:49
"7bc2ce1f-b7d8-42ad-8d6b-ca87d266e93d","DailyBulkApiBatches",15000,6667,2021-06-19 11:13:15
"9aece98e-7755-4dcc-8908-c80208229b1c","DailyBulkApiBatches",15000,6688,2021-06-19 12:14:11
"24cdbc4c-3c1f-46cf-9bbd-7b8eb80947cf","DailyBulkApiBatches",15000,6666,2021-06-19 13:13:34
"0674102f-f215-4ccb-8b07-275a280fae2d","DailyBulkApiBatches",15000,6664,2021-06-19 14:13:27
a32a4b8f-4daa-4abc-a514-a77efef02f46,"DailyBulkApiBatches",15000,6771,2021-06-19 15:13:53
"8aade564-3ef7-46cf-88ff-d60f305b3bf7","DailyBulkApiBatches",15000,6868,2021-06-19 16:13:45
"1ac76d38-8f78-4328-aaaf-e8a0f43ced9f","DailyBulkApiBatches",15000,6967,2021-06-19 17:13:27
"67d4a34c-1529-4d7a-915a-6a80a10f3076","DailyBulkApiBatches",15000,7091,2021-06-19 18:13:38
"50ca99d8-ab21-46d7-bf59-325c5759ead0","DailyBulkApiBatches",15000,7327,2021-06-19 20:13:24
"57b10311-7052-48c1-8c50-afa82957cb02","DailyBulkApiBatches",15000,7479,2021-06-19 21:13:38
e0384d37-79cc-45ea-b804-94c4d7f0343f,"DailyBulkApiBatches",15000,7570,2021-06-19 22:15:03
"3c574a42-0f90-498d-97ac-c7bee62cfb02","DailyBulkApiBatches",15000,7692,2021-06-19 23:13:22
ee9bce8c-cfb8-4f7d-8a13-01f4fb42f349,"DailyBulkApiBatches",15000,7754,2021-06-20 00:11:36
"801c2baa-7523-41a3-a5b6-cd2a5eb7516e","DailyBulkApiBatches",15000,7730,2021-06-20 01:14:35
"9e6740af-ba3f-4af2-94d1-ab766ff72823","DailyBulkApiBatches",15000,7731,2021-06-20 02:13:34
f51c8315-fad8-4c45-aa5c-6f41d36b560b,"DailyBulkApiBatches",15000,7731,2021-06-20 03:13:51
e5889f23-4e35-416e-8a7a-0062c13b36c3,"DailyBulkApiBatches",15000,7732,2021-06-20 04:13:59
"76acfffb-555b-4690-a756-ce9a17963874","DailyBulkApiBatches",15000,7732,2021-06-20 05:14:18
"3933ad57-87c9-4503-997b-3be19132952f","DailyBulkApiBatches",15000,7732,2021-06-20 06:13:45
ad72781d-4e6e-4086-b288-186d49175daa,"DailyBulkApiBatches",15000,7743,2021-06-20 07:12:33
